,Open,High,Low,Close,Volume,Dividends,Stock Splits,compound
2021-11-19,366.2900085449219,379.5733337402344,364.23333740234375,379.0199890136719,64926900,0.0,0.0,0.4860304101838752
2021-11-22,387.4433288574219,400.6499938964844,377.4766540527344,385.6233215332031,99217500,0.0,0.0,0.5561128703254005
2021-11-23,389.1700134277344,393.5,354.2333374023437,369.6766662597656,108515100,0.0,0.0,0.5336722843093415
2021-11-24,360.1300048828125,377.5899963378906,354.0,372.0,67680600,0.0,0.0,0.5404304154302668
2021-11-26,366.489990234375,369.5933227539063,360.3333435058594,360.6400146484375,35042700,0.0,0.0,0.596538839645447
2021-11-29,366.9966735839844,380.8900146484375,366.7300109863281,378.9966735839844,58393500,0.0,0.0,0.4991604687499992
2021-11-30,381.4566650390625,389.3333435058594,372.6666564941406,381.586669921875,81276000,0.0,0.0,0.5414057961359084
2021-12-01,386.8999938964844,390.9466552734375,363.586669921875,365.0,68450400,0.0,0.0,0.4726749849669271
2021-12-02,366.3533325195313,371.0,352.2166748046875,361.5333251953125,73114800,0.0,0.0,0.5146300215982718
2021-12-03,361.5966796875,363.5266723632813,333.4033203125,338.3233337402344,92322000,0.0,0.0,0.538970429252782
2021-12-06,333.836669921875,340.5466613769531,316.8333435058594,336.336669921875,81663000,0.0,0.0,0.5293188474256022
2021-12-07,348.0666809082031,352.5566711425781,342.2699890136719,350.5833435058594,56084700,0.0,0.0,0.5514732765957444
2021-12-08,350.9033203125,357.4599914550781,344.3333435058594,356.32000732421875,41906400,0.0,0.0,0.5598740377886625
2021-12-09,353.5466613769531,354.163330078125,334.1199951171875,334.6000061035156,59438400,0.0,0.0,0.5770867809057525
2021-12-10,336.25,340.32666015625,327.510009765625,339.010009765625,59664300,0.0,0.0,0.5324198540706591
2021-12-13,333.6966552734375,335.0,317.1400146484375,322.1366577148437,78595500,0.0,0.0,0.5900270364817587
2021-12-14,315.0,322.1366577148437,310.0,319.5033264160156,70806300,0.0,0.0,0.5494018661811557
2021-12-15,317.7366638183594,326.25,309.4166564941406,325.3299865722656,75169200,0.0,0.0,0.4893651763536998
2021-12-16,331.5,331.6600036621094,307.2833251953125,308.97332763671875,82771500,0.0,0.0,0.5490006625258798
2021-12-17,304.92333984375,320.2200012207031,303.0133361816406,310.8566589355469,100437300,0.0,0.0,0.568575524833589
2021-12-20,303.5666809082031,307.2300109863281,297.7966613769531,299.9800109863281,56480100,0.0,0.0,0.5769751608751607
2021-12-21,305.6233215332031,313.1666564941406,295.3733215332031,312.84332275390625,71517900,0.0,0.0,0.4937545921277802
2021-12-22,321.8866577148437,338.5533447265625,319.01666259765625,336.2900085449219,93634200,0.0,0.0,0.5375092786590826
2021-12-23,335.6000061035156,357.6600036621094,332.5199890136719,355.6666564941406,92713200,0.0,0.0,0.5563145025295119
2021-12-27,357.8900146484375,372.3333435058594,356.9066772460937,364.6466674804688,71145900,0.0,0.0,0.5275333896396384
2021-12-28,369.8299865722656,373.0,359.47332763671875,362.8233337402344,60324000,0.0,0.0,0.5911453968253946
2021-12-29,366.21331787109375,368.0,354.7133178710937,362.0633239746094,56154000,0.0,0.0,0.5607795024136655
2021-12-30,353.77667236328125,365.1833190917969,351.04998779296875,356.7799987792969,47040900,0.0,0.0,0.5800058747855913
2021-12-31,357.8133239746094,360.6666564941406,351.5299987792969,352.260009765625,40733700,0.0,0.0,0.5926525916561308
2022-01-03,382.5833435058594,400.3566589355469,378.6799926757813,399.9266662597656,103931400,0.0,0.0,0.4672071479122455
2022-01-04,396.51666259765625,402.6666564941406,374.3500061035156,383.1966552734375,100248300,0.0,0.0,0.603466250380748
2022-01-05,382.2166748046875,390.11334228515625,360.336669921875,362.7066650390625,80119800,0.0,0.0,0.5393180302442785
2022-01-06,359.0,362.6666564941406,340.1666564941406,354.8999938964844,90336600,0.0,0.0,0.5619921819787979
